material,thickness,counts,time,bg_counts,bg_time,no_abs_counts,no_abs_time
-,1,2512,20,38,300,4830,20
-,2,1159,20,,,,
-,3,535,20,,,,
-,4,199,20,,,,
-,5,65,20,,,,
-,6,21,20,,,,
-,7,8,20,,,,
