material,thickness,counts,time,bg_counts,bg_time,no_abs_counts,no_abs_time
d,8.0000000000000002e-03,513,20,38,300,2869,100
e,2.9999999999999999e-02,385,20,,,,
f,4.0000000000000001e-02,387,20,,,,
e+f,7.0000000000000007e-02,307,20,,,,
d+e+f,7.8e-02,251,20,,,,
