material,thickness,counts,time,bg_counts,bg_time,no_abs_counts,no_abs_time
-,0.125,815,200,51,300,931,200
-,0.25,646,200,,,,
-,0.375,565,200,,,,
-,0.439,557,200,,,,
-,0.47099999999999997,519,200,,,,
